epoch;train_loss;test_loss;train_accuracy;test_accuracy;precision;recall;f1;TP;FP;TN;FN
0;0.438203;0.223699;0.783425;0.917411;0.8586;0.9993;0.9236;8358;1376;7260;6
1;0.349266;0.203920;0.847205;0.934445;0.8945;0.9857;0.9379;8244;972;7664;120
2;0.332511;0.158579;0.858055;0.944431;0.9023;0.9978;0.9477;8346;904;7732;18
3;0.325697;0.157916;0.862080;0.948719;0.9112;0.9955;0.9515;8326;811;7825;38
4;0.320567;0.179503;0.864431;0.944725;0.9145;0.9822;0.9471;8215;768;7868;149
5;0.316744;0.173779;0.867932;0.941083;0.8985;0.9955;0.9445;8326;941;7695;38
6;0.308960;0.159343;0.872054;0.946134;0.9169;0.9823;0.9485;8216;745;7891;148
7;0.303768;0.164108;0.875157;0.947545;0.9346;0.9635;0.9488;8059;564;8072;305
8;0.298919;0.193417;0.878168;0.927925;0.9331;0.9223;0.9277;7714;553;8083;650
9;0.293701;0.120560;0.881989;0.974623;0.9707;0.9809;0.9757;8204;248;8388;160
10;0.287901;0.147060;0.885105;0.967164;0.9856;0.9499;0.9674;7945;116;8520;419
11;0.281092;0.256805;0.888750;0.899906;0.9945;0.8036;0.8889;6721;37;8599;1643
12;0.275904;0.292464;0.892082;0.877761;0.9891;0.7624;0.8611;6377;70;8566;1987
13;0.273632;0.542579;0.893231;0.756638;0.9874;0.5141;0.6762;4300;55;8581;4064
14;0.271063;0.396156;0.895171;0.816788;0.9953;0.6330;0.7738;5294;25;8611;3070
15;0.267645;0.537118;0.896243;0.784245;0.9973;0.5653;0.7216;4728;13;8623;3636
16;0.266394;0.393355;0.897464;0.827361;0.9905;0.6578;0.7906;5502;53;8583;2862
17;0.262889;0.636093;0.898523;0.727678;0.9896;0.4534;0.6218;3792;40;8596;4572
18;0.261257;0.525866;0.899156;0.763805;0.9811;0.5324;0.6902;4453;86;8550;3911
19;0.260592;0.710026;0.900045;0.698367;0.9979;0.3898;0.5606;3260;7;8629;5104
20;0.258548;0.936633;0.901122;0.669702;0.9901;0.3339;0.4994;2793;28;8608;5571
