epoch;train_loss;train_accuracy;test_loss;test_accuracy;test_precision;test_recall;test_f1;test_specificity;test_npv;test_fpr;test_fnr;test_mcc;test_tp;test_fp;test_tn;test_fn
0;0.5342581340401468;0.7017271112040134;0.2617215558438373;0.9424929511278195;0.958307559074601;0.9261119081779053;0.9419346993372651;0.9609773043075498;0.9306941796568352;0.03902269569245021;0.07388809182209469;0.8880449607477485;7746;337;8299;618
1;0.49376425630472176;0.7400645380434783;0.415943552900974;0.801515507518797;0.9862162686856921;0.6073648971783836;0.7517573066962634;0.9917786012042612;0.7228458097729766;0.008221398795738768;0.39263510282161646;0.6517897929993964;5080;71;8565;3284
2;0.4733825290581853;0.7583024142976589;0.26200200594905626;0.9240484022556391;0.9874948467775182;0.8591582974653276;0.9188670801099674;0.9894627142195461;0.87884397819603;0.010537285780453914;0.1408417025346724;0.8574341549710609;7186;91;8545;1178
3;0.45995998093515733;0.7687865802675585;0.21687413135865577;0.9624060150375939;0.9917491749174917;0.9341224294595887;0.9620736362516932;0.9924733672996757;0.9395965796974348;0.007526632700324224;0.06587757054041128;0.9289677397820532;7813;65;8571;551
4;0.45076287428172535;0.7762267454013378;0.209702410868236;0.9545347744360902;0.9942871981303557;0.9155906264945003;0.9533175650441927;0.9949050486336267;0.9240696924069692;0.005094951366373321;0.08440937350549976;0.9144178350504484;7658;44;8592;706
5;0.44062163857711995;0.7838955372073578;0.2909700251499513;0.886454417293233;0.9973801818462013;0.773792443806791;0.8714737763414799;0.9980314960629921;0.8199980972314718;0.001968503937007874;0.22620755619320898;0.7942745896235839;6472;17;8619;1892
6;0.4322310198459737;0.7906171613712375;0.2595940056375991;0.9207589285714286;0.9980189613697467;0.8432568149210904;0.9141338863327069;0.9983788791106994;0.8680157052250076;0.001621120889300602;0.1567431850789096;0.8537480235263012;7053;14;8622;1311
7;0.42339348476566996;0.7961237980769231;0.2621883730355062;0.9167058270676691;0.9984267734553776;0.8346484935437589;0.9092211513414951;0.9987262621584067;0.861810551558753;0.0012737378415933302;0.16535150645624103;0.8466995161091895;6981;11;8625;1383
8;0.4177459997925471;0.7995858591137124;0.24506346696525588;0.9252232142857143;0.9984587361636542;0.8519846963175514;0.9194245532546288;0.9987262621584067;0.8744803812227517;0.0012737378415933302;0.14801530368244858;0.8617533714717606;7126;11;8625;1238
9;0.41068364159020293;0.8038579117892977;0.1824291378427717;0.9604088345864662;0.9979344177640073;0.9241989478718317;0.9596523898199875;0.9981472904122278;0.9314890858007349;0.0018527095877721167;0.07580105212816834;0.9258781087625579;7730;16;8620;634
10;0.40339174131585603;0.8090901964882943;0.2004432937312395;0.9577067669172933;0.9988290398126464;0.9178622668579627;0.9566355140186916;0.9989578508568782;0.9262400687137642;0.0010421491431218156;0.0821377331420373;0.9209353771973073;7677;9;8627;687
11;0.3967671118253051;0.8146360263377926;0.17043546556418104;0.9722156954887218;0.9984884746189696;0.9477522716403635;0.9724590566153469;0.998610467809171;0.9517713276680279;0.0013895321908290875;0.052247728359636536;0.9483092690051572;7927;12;8624;437
12;0.38955898263980715;0.8191301734949833;0.14876445388435422;0.9722156954887218;0.9987397605545053;0.9475131516021043;0.9724522976869746;0.9988420565076425;0.9515719801434087;0.001157943492357573;0.05248684839789575;0.9483314110253388;7925;10;8626;439
13;0.38477400443625687;0.8229645693979933;0.13398096990540512;0.984375;0.9990169574834111;0.9720229555236729;0.9853351108956491;0.999073645206114;0.973595125253893;0.0009263547938860583;0.027977044476327116;0.9718540463335604;8130;8;8628;234
14;0.3781845532980651;0.8276612144648829;0.12220613896510654;0.9874295112781954;0.9981716235982447;0.9790769966523195;0.9885321100917432;0.9982630847614636;0.9801045929968167;0.0017369152385363594;0.020923003347680536;0.9778080369746329;8189;15;8621;175
15;0.3734297561256782;0.8315282713210702;0.11943496970977999;0.9882518796992481;0.9993900951451573;0.9795552367288379;0.9893732640985389;0.9994210282538212;0.9805725971370143;0.0005789717461787865;0.020444763271162122;0.9794693544530892;8193;5;8631;171
16;0.36646061754445963;0.8358395171404682;0.114011314242406;0.9878994360902256;0.9995115995115995;0.9787183165949307;0.9890056783858886;0.999536822603057;0.9797956867196368;0.0004631773969430292;0.021281683405069345;0.9787810713380911;8186;4;8632;178
17;0.3631024883941663;0.8379755434782609;0.1102480060119826;0.9906602443609023;0.999029714978775;0.9848158775705405;0.9918718766933591;0.999073645206114;0.9854940034266134;0.0009263547938860583;0.015184122429459589;0.9842065695087464;8237;8;8628;127
18;0.3572486020674474;0.8417446174749164;0.14350469598084464;0.9760925751879699;0.9997495303694427;0.9544476327116213;0.9765734907333782;0.9997684113015285;0.9577371048252912;0.0002315886984715146;0.04555236728837877;0.9558499407495828;7983;2;8634;381
19;0.3532799017867914;0.8444424122073578;0.12483712232538632;0.9822603383458647;0.999752781211372;0.9670014347202296;0.9831044123009602;0.9997684113015285;0.969023569023569;0.0002315886984715146;0.03299856527977044;0.967772578112314;8088;2;8634;276
